Unnamed: 0,Ticker,Quarter,Date,Total_Words,Sum,Mean,Median,Std,%Positive,%Negative,%Neutral,Flesch score,Polysyllable number per sentence
1309,ACN,2018Q1,2017-12-21,5527,1191.0,0.21548760629636327,0.0,0.6406930316349121,12.375610638682831,0.578975936312647,87.04541342500454,52.73,3.67
1354,ACN,2018Q2,2018-03-22,5488,927.0,0.16891399416909622,0.0,0.5885141944448605,10.076530612244898,0.7106413994169096,89.21282798833819,45.56,4.4
1405,ACN,2018Q3,2018-06-28,6062,1370.0,0.2259980204552953,0.0,0.6733896888038635,12.388650610359615,0.6268558231606731,86.9844935664797,49.08,4.03
1452,ACN,2018Q4,2018-09-27,5204,931.0,0.1789008455034589,0.0,0.6037303654673001,10.722521137586472,0.7686395080707148,88.5088393543428,39.51,5.19
1503,ACN,2019Q1,2018-12-20,6488,1345.0,0.20730579531442664,0.0,0.667251726061641,11.744759556103576,0.9556103575832304,87.29963008631321,52.51,3.74
1549,ACN,2019Q2,2019-03-28,5940,1132.0,0.19057239057239056,0.0,0.6290749701311367,10.959595959595962,0.8080808080808081,88.23232323232322,47.25,4.29
1596,ACN,2019Q3,2019-06-27,5746,1229.0,0.2138879220327184,0.0,0.6423048878729614,11.938739993038634,0.5395057431256526,87.52175426383572,51.96,3.95
1643,ACN,2019Q4,2019-09-26,5602,1089.0,0.1943948589789361,0.0,0.6159957890277892,10.746162084969654,0.26776151374509105,88.98607640128525,49.23,4.15
1688,ACN,2020Q1,2019-12-19,5605,1031.0,0.183942908117752,0.0,0.6073771530268705,10.776092774308653,0.856378233719893,88.36752899197145,41.43,4.85
1733,ACN,2020Q2,2020-03-19,5581,930.0,0.16663680344024367,0.0,0.6359915596474232,10.607418025443467,1.1646658304963269,88.22791614406022,50.97,3.65
